"code","Name","Reference.Area.Type..for.UNSD.use.only.","required","GeoAreaName"
728,"South Sudan","1.0-Global","R","South Sudan"
724,"Spain","1.0-Global","R","Spain"
144,"Sri Lanka","1.0-Global","R","Sri Lanka"
275,"State of Palestine","1.0-Global","R","State of Palestine"
729,"Sudan","1.0-Global","R","Sudan"
740,"Suriname","1.0-Global","R","Suriname"
744,"Svalbard and Jan Mayen Islands","1.0-Global","R","Svalbard and Jan Mayen Islands"
752,"Sweden","1.0-Global","R","Sweden"
756,"Switzerland","1.0-Global","R","Switzerland"
760,"Syrian Arab Republic","1.0-Global","R","Syrian Arab Republic"
762,"Tajikistan","1.0-Global","R","Tajikistan"
764,"Thailand","1.0-Global","R","Thailand"
807,"Republic of North Macedonia","1.0-Global","R","Republic of North Macedonia"
626,"Timor-Leste","1.0-Global","R","Timor-Leste"
768,"Togo","1.0-Global","R","Togo"
772,"Tokelau","1.0-Global","R","Tokelau"
776,"Tonga","1.0-Global","R","Tonga"
780,"Trinidad and Tobago","1.0-Global","R","Trinidad and Tobago"
788,"Tunisia","1.0-Global","R","Tunisia"
792,"Turkey","1.0-Global","R","Turkey"
795,"Turkmenistan","1.0-Global","R","Turkmenistan"
796,"Turks and Caicos Islands","1.0-Global","R","Turks and Caicos Islands"
798,"Tuvalu","1.0-Global","R","Tuvalu"
800,"Uganda","1.0-Global","R","Uganda"
804,"Ukraine","1.0-Global","R","Ukraine"
784,"United Arab Emirates","1.0-Global","R","United Arab Emirates"
826,"United Kingdom of Great Britain and Northern Ireland","1.0-Global","R","United Kingdom of Great Britain and Northern Ireland"
834,"United Republic of Tanzania","1.0-Global","R","United Republic of Tanzania"
581,"United States minor outlying islands","1.0-Global","R","United States minor outlying islands"
840,"United States of America","1.0-Global","R","United States of America"
850,"United States Virgin Islands","1.0-Global","R","United States Virgin Islands"
858,"Uruguay","1.0-Global","R","Uruguay"
860,"Uzbekistan","1.0-Global","R","Uzbekistan"
548,"Vanuatu","1.0-Global","R","Vanuatu"
862,"Venezuela (Bolivarian Republic of)","1.0-Global","R","Venezuela (Bolivarian Republic of)"
704,"Viet Nam","1.0-Global","R","Viet Nam"
876,"Wallis and Futuna Islands","1.0-Global","R","Wallis and Futuna Islands"
732,"Western Sahara","1.0-Global","R","Western Sahara"
887,"Yemen","1.0-Global","R","Yemen"
894,"Zambia","1.0-Global","R","Zambia"
716,"Zimbabwe","1.0-Global","R","Zimbabwe"
513,"Northern America (M49) and Europe (M49)","2.1-Regional (SDG)","R","Northern America (M49) and Europe (M49)"
202,"Sub-Saharan Africa (M49)","2.1-Regional (SDG)","R","Sub-Saharan Africa (M49)"
21,"Northern America (M49)","2.1-Regional (SDG)","R","Northern America (M49)"
150,"Europe (M49)","2.1-Regional (SDG)","R","Europe (M49)"
